age,annual_income,employment_years,employment_type,home_ownership,credit_score,existing_debt,loan_amount,loan_term_months,loan_purpose,num_credit_lines,num_late_payments,has_bankruptcy,debt_to_income,approved
22,40617.24,0.8,Unemployed,RENT,582.0,13868.88,16841.69,36,education,11,4,0,0.756,0
58,38986.05,41.0,Salaried,OWN,664.0,15752.24,10195.86,60,education,10,2,0,0.666,0
52,72004.43,34.5,Salaried,RENT,670.0,18260.33,40356.83,48,home_improvement,12,1,0,0.814,1
40,73832.34,18.0,Salaried,OWN,536.0,19111.44,25542.95,60,business,2,0,0,0.605,1
40,37513.51,8.7,Unemployed,MORTGAGE,571.0,7347.05,3560.18,60,debt_consolidation,12,0,0,0.291,0
62,40071.42,35.6,Self-Employed,MORTGAGE,577.0,6997.82,14465.08,48,medical,10,0,0,0.536,1
22,64251.83,3.1,Retired,RENT,634.0,7200.32,28161.45,36,education,11,3,0,0.55,0
54,32409.53,25.8,Self-Employed,MORTGAGE,829.0,534.84,7658.34,24,car,2,1,0,0.253,1
28,39924.0,4.7,Salaried,OWN,566.0,5774.33,15025.95,36,medical,12,1,0,0.521,0
22,51266.68,1.4,Unemployed,MORTGAGE,562.0,19768.84,19773.73,36,education,0,4,0,0.771,0
45,80657.68,28.9,Salaried,RENT,548.0,15029.55,31361.19,48,debt_consolidation,3,1,0,0.575,1
68,36232.1,43.7,Unemployed,RENT,707.0,7177.48,23439.57,12,car,2,1,0,0.845,1
56,19512.45,31.4,Salaried,MORTGAGE,646.0,3808.39,2686.64,48,business,3,4,0,0.333,0
57,18801.68,34.8,Salaried,OWN,569.0,8210.81,15168.45,60,debt_consolidation,9,0,0,1.243,0
55,26115.74,34.4,Unemployed,MORTGAGE,617.0,2892.13,10274.79,24,debt_consolidation,13,1,0,0.504,0
58,25423.17,35.4,Salaried,RENT,579.0,7412.33,13119.43,48,medical,14,2,0,0.808,0
44,45374.0,26.2,Unemployed,RENT,677.0,10877.51,19309.69,48,debt_consolidation,1,0,0,0.665,1
24,27053.18,0.0,Salaried,RENT,850.0,7038.94,1482.39,36,business,14,0,0,0.315,1
61,34496.82,39.5,Self-Employed,MORTGAGE,700.0,9888.6,6509.01,60,education,1,1,0,0.475,1
41,33288.16,20.8,Self-Employed,OWN,642.0,8607.48,9824.83,36,medical,11,1,0,0.554,1
44,39330.13,20.4,Salaried,OWN,590.0,14510.98,23548.68,24,medical,2,2,0,0.968,0
37,94963.91,18.4,Unemployed,RENT,529.0,23324.22,11693.45,36,business,12,1,0,0.369,1
27,68252.8,5.6,Salaried,RENT,716.0,34921.99,15619.82,36,business,5,0,0,0.741,0
66,49417.74,47.2,Unemployed,RENT,711.0,12684.15,21396.41,24,business,13,1,0,0.69,1
58,38928.69,36.8,Retired,RENT,608.0,0.0,19253.01,48,medical,8,3,0,0.495,0
51,39473.45,30.5,Self-Employed,MORTGAGE,759.0,13647.81,19284.52,48,car,7,2,0,0.834,1
38,57749.69,13.5,Retired,RENT,652.0,17833.94,11734.68,36,home_improvement,6,4,0,0.512,1
60,65649.45,35.5,Self-Employed,RENT,720.0,16732.85,5278.33,36,car,3,3,0,0.335,0
46,31138.22,28.9,Retired,MORTGAGE,677.0,6572.17,15812.36,36,business,7,1,0,0.719,0
